1Yi20221112201,favc@outlook.com,90720432,Tenet,1,1,1,25,15/11/2022/15/00,4.0
2Ju20221112204,favc@outlook.com,90720432,1MDB,2,2,8,32/33,01/12/2022/12/45,13.0
1Yi20221112205,favc@outlook.com,90720432,Tenet,1,1,1,46/47/48,15/11/2022/15/00,27.0
3Se20221112205,favc@outlook.com,90720432,Tenet,1,3,16,85,20/12/2022/13/30,13.5
3Se202211122011,amongus@susmail.com,96338582,1MDB,2,3,18,69,25/12/2022/19/00,28.6
2Ju20221113041,sussybaka@gmail.com,98887555,1MDB,2,2,10,21/22/23/24/25/26/27,10/12/2022/20/00,94.5
2Ju20221113042,sussybaka@gmail.com,98885656,1MDB,2,2,8,1/1,01/12/2022/12/45,18.0
2Ju20221113046,lol@yahoo.com,84568234,1MDB,2,2,8,2,01/12/2022/12/45,9.0
3Se202211131348,yannarojc@outlook.com,91379204,Tenet,1,3,16,1/2/3/4,20/12/2022/13/30,54.0
3Se202211131610,noway@money.com,12345,Tenet,1,3,16,11,20/12/2022/13/30,18.0
1Yi202211131631,yannaroj@man.com,999,Tenet,1,1,1,1,19/11/2022/14/30,15.0
